Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
0002075,QA31,Elena2712,,low,minor,always,,General,2024-09-30,,,,public,2024-09-30,Не переведено название элемента управления “play” на главной странице  в укр локализации,new,open,
0002074,QA31,Elena2712,,low,minor,always,,General,2024-09-30,,,,public,2024-09-30,Ненужная надпись “(ru)” в разделе “N” в “Словарь терминов” в англ локализации,new,open,
0002073,QA31,Elena2712,,high,minor,always,,General,2024-09-30,,,,public,2024-09-30,Отсутствует гипертекстовая ссылка “Децентрализованные сообщения” в разделе “D” в “Словарь терминов” в укр локализации,new,open,
0002072,QA31,Elena2712,,normal,trivial,always,,General,2024-09-30,,,,public,2024-09-30,Отсутствует валидация в поле “телефон” в форме “получить расчет” в разделе “Расчет стоимости проекта”,new,open,
0002071,QA31,Elena2712,,normal,trivial,always,,General,2024-09-30,,,,public,2024-09-30,Отсутствует валидация в поле “Телефон” в форме “З’явились питання?” в футере на главной странице,new,open,
0002070,QA31,Elena2712,,low,trivial,always,,General,2024-09-30,,,,public,2024-09-30,"Не переведен адрес для корпоративной почты в футере в разделе ""Contact Intel"" на японском языке",new,open,
0002069,QA31,Elena2712,,low,trivial,always,,General,2024-09-30,,,,public,2024-09-30,"Не переведено название сервиса ""Intal Developer Cloud"" в футере в разделе ""Contact Intel"" на китайском упрощенном языке",new,open,
0002068,QA31,Elena2712,,low,trivial,always,,General,2024-09-30,,,,public,2024-09-30,"Не переведено название столбца ""OS"" в разделе ""Intel® Core™ Ultra Processors"" на японском языке",new,open,
0002067,QA31,Elena2712,,low,trivial,always,,General,2024-09-30,,,,public,2024-09-30,"Не переведен копирайт ""Intel Corporation"" в футере на главной странице на японском языке",new,open,
0002066,QA31,Elena2712,,low,trivial,always,,General,2024-09-30,,,,public,2024-09-30,"Не переведена гипертекстовая ссылка ""Cookies"" в разделе авторизации на японскоском языке",new,open,
